Unnamed: 0,ast,height,left,ppg,right,trb,weight
0,1.7217391304347829,74.32298136645963,1.0,9.33913043478261,22.0,3.7913043478260864,188.65625
1,1.925,74.5701754385965,1.0,8.993750000000002,31.0,3.671875,187.3628318584071
2,1.9444444444444449,75.19774011299435,3.0,8.674603174603172,60.0,3.974603174603175,191.53672316384186
3,2.0211382113821137,75.32444444444444,5.0,8.518699186991869,118.0,4.040650406504063,191.4932735426009
4,1.930065359477123,75.84313725490195,6.0,8.183660130718952,147.0,3.984313725490196,194.54901960784318
5,2.0092307692307685,75.98461538461537,6.0,8.163076923076925,124.0,4.295384615384614,195.25384615384613
6,2.008461538461539,75.73076923076924,5.0,8.071538461538463,125.0,4.2892307692307705,194.4769230769231
7,1.9582608695652173,76.30434782608695,2.0,8.189565217391307,113.0,4.500869565217392,196.71929824561403
8,2.0375,76.40178571428571,2.0,8.560714285714285,110.0,4.698214285714284,196.7142857142857
9,2.1040404040404046,76.9090909090909,2.0,9.457575757575757,97.0,5.249494949494951,200.010101010101
10,2.1000000000000005,77.01851851851852,4.0,9.384259259259258,104.0,5.339814814814815,200.3055555555556
11,2.1066666666666665,76.98095238095237,2.0,9.497142857142851,103.0,5.416190476190474,200.29523809523806
12,2.1936170212765957,77.04255319148936,3.0,10.340425531914892,91.0,5.5638297872340425,201.1382978723404
13,2.215151515151516,77.04040404040404,5.0,10.412121212121207,94.0,5.7212121212121225,201.7878787878788
14,2.356701030927835,77.36082474226805,8.0,11.077319587628862,89.0,5.8185567010309285,203.47422680412367
15,2.1049586776859504,77.27272727272727,8.0,9.905785123966943,113.0,5.238842975206612,203.55371900826447
16,2.1479338842975206,77.4710743801653,7.0,10.439669421487602,114.0,5.512396694214875,204.84297520661158
17,2.206779661016949,77.4322033898305,8.0,11.058474576271193,110.0,5.846610169491526,205.01694915254242
18,2.2508064516129034,77.44354838709677,10.0,11.160483870967749,114.0,5.8056451612903235,205.5241935483871
19,2.35,77.41538461538461,13.0,11.66076923076924,117.0,5.914615384615384,205.3923076923077
