name,active_from,active_to,career_length,birth_date,position,trad_position,ppg,trb,ast,fgp,per,ws,height_inches,weight,shooting_hand,hof,college,hs_name,hs_city,hs_state,url
Rashad Vaughn,2015,2018,3,1996-08-16,Shooting Guard,Guard,3.0,1.1,0.5,33.7,5.9,-0.6,78.0,202.0,Right,0.0,"University of Nevada, Las Vegas",Findlay Prep ,Henderson,Nevada,/players/v/vaughra01.html
Virgil Vaughn,1946,1947,1,1918-05-15,Power Forward,Forward,2.6,,0.6,19.2,,-0.3,76.0,205.0,Right,0.0,Western Kentucky University,,,,/players/v/vaughvi01.html
Loy Vaught,1990,2001,11,1968-02-27,Power Forward,Forward,10.1,7.1,0.9,50.4,15.4,35.8,81.0,230.0,Right,0.0,University of Michigan,East Kentwood ,Kentwood,Michigan,/players/v/vaughlo01.html
Bob Verga,1967,1974,7,1945-09-07,Point Guard,Guard,20.2,3.9,2.9,43.8,17.5,19.7,73.0,190.0,Right,0.0,Duke University,Saint Rose's ,Belmar,New Jersey,/players/v/vergabo01.html
Pete Verhoeven,1981,1987,6,1959-02-15,Power Forward,Forward,3.5,2.3,0.5,50.5,10.3,5.2,81.0,215.0,Right,0.0,"California State University, Fresno",Hanford ,Hanford,California,/players/v/verhope01.html
Jan Vesely,2011,2014,3,1990-04-24,Power Forward,Forward,3.6,3.5,0.6,52.1,10.9,4.0,83.0,240.0,Right,0.0,,,,,/players/v/veselja01.html
Gundars Vetra,1992,1993,1,1967-05-22,Small Forward,Forward,3.5,0.6,0.5,47.5,13.6,0.1,78.0,195.0,Right,0.0,,,,,/players/v/vetragu01.html
Joao Vianna,1991,1992,1,1966-11-15,Small Forward,Forward,2.0,0.0,2.0,50.0,1.0,0.0,81.0,215.0,Right,0.0,,,,,/players/v/viannjo01.html
Charlie Villanueva,2005,2016,11,1984-08-24,Power Forward,Forward,10.4,4.6,0.8,43.5,16.0,22.6,83.0,232.0,Right,0.0,University of Connecticut,Blair Academy ,Blairstown,New Jersey,/players/v/villach01.html
Jay Vincent,1981,1990,9,1959-06-10,Small Forward,Forward,15.2,5.5,2.0,47.4,15.9,27.5,79.0,220.0,Right,0.0,Michigan State University,Eastern ,Lansing,Michigan,/players/v/vinceja01.html
Sam Vincent,1985,1992,7,1963-05-18,Shooting Guard,Guard,7.8,2.1,3.9,44.9,14.1,10.9,74.0,185.0,Right,0.0,Michigan State University,Eastern ,Lansing,Michigan,/players/v/vincesa01.html
Marcus Vinicius,2006,2008,2,1984-05-31,Small Forward,Forward,1.9,0.7,0.3,45.7,8.8,0.2,80.0,225.0,Right,0.0,,,,,/players/v/vincima01.html
Fred Vinson,1994,2000,6,1971-01-28,Shooting Guard,Guard,1.3,0.1,0.1,25.0,-2.0,-0.2,76.0,190.0,Right,0.0,Georgia Institute of Technology,Northampton County ,East Conway,North Carolina,/players/v/vinsofr01.html
Claude Virden,1972,1973,1,1947-11-25,Small Forward,Forward,9.9,5.0,2.4,39.8,9.6,0.4,78.0,195.0,Right,0.0,Murray State University,,,,/players/v/virdecl01.html
Gary Voce,1989,1990,1,1965-11-24,Power Forward,Forward,2.0,2.0,0.0,33.3,19.2,0.0,81.0,240.0,Right,0.0,University of Notre Dame,Saint Nicholas of Tolentine ,Bronx,New York,/players/v/vocega01.html
Floyd Volker,1949,1950,1,1921-06-21,Power Forward,Forward,7.4,,2.1,30.9,,-2.0,76.0,205.0,Right,0.0,University of Wyoming,Natrona County ,Casper,Wyoming,/players/v/volkefl01.html
