name,active_from,active_to,career_length,birth_date,position,trad_position,ppg,trb,ast,fgp,per,ws,height_inches,weight,shooting_hand,hof,college,hs_name,hs_city,hs_state,url
Alaa Abdelnaby,1990,1995,5,1968-06-24,Power Forward,Forward,5.7,3.3,0.3,50.2,13.0,4.8,82.0,240.0,Right,0.0,Duke University,Bloomfield ,Bloomfield,New Jersey,/players/a/abdelal01.html
Zaid Abdul-Aziz,1968,1978,10,1946-04-07,Center,Center,9.0,8.0,1.2,42.8,15.1,17.5,81.0,235.0,Right,0.0,Iowa State University,John Jay ,Brooklyn,New York,/players/a/abdulza01.html
Kareem Abdul-Jabbar,1969,1989,20,1947-04-16,Center,Center,24.6,11.2,3.6,55.9,24.6,273.4,86.0,225.0,Right,1.0,"University of California, Los Angeles",Power Memorial ,New York,New York,/players/a/abdulka01.html
Mahmoud Abdul-Rauf,1990,2001,11,1969-03-09,Point Guard,Guard,14.6,1.9,3.5,44.2,15.4,25.2,73.0,162.0,Right,0.0,Louisiana State University,Gulfport ,Gulfport,Mississippi,/players/a/abdulma02.html
Tariq Abdul-Wahad,1997,2003,6,1974-11-03,Shooting Guard,Guard,7.8,3.3,1.1,41.7,11.4,3.5,78.0,223.0,Right,0.0,"University of Michigan, San Jose State University",Lycee Aristide Briand ,Evreux,France,/players/a/abdulta01.html
Shareef Abdur-Rahim,1996,2008,12,1976-12-11,Small Forward,Forward,18.1,7.5,2.5,47.2,19.0,71.2,81.0,225.0,Right,0.0,University of California,Wheeler ,Marietta,Georgia,/players/a/abdursh01.html
Tom Abernethy,1976,1981,5,1954-05-06,Power Forward,Forward,5.6,3.2,1.2,49.2,12.9,13.4,79.0,220.0,Right,0.0,Indiana University,Saint Joseph ,South Bend,Indiana,/players/a/abernto01.html
Forest Able,1956,1957,1,1932-07-27,Point Guard,Guard,0.0,1.0,1.0,0.0,-41.1,0.0,75.0,180.0,Right,0.0,Western Kentucky University,Fairdale ,Louisville,Kentucky,/players/a/ablefo01.html
John Abramovic,1946,1948,2,1919-02-09,Small Forward,Forward,9.5,,0.7,23.7,,-1.9,75.0,195.0,Right,0.0,Salem International University,Etna ,Etna,Pennsylvania,/players/a/abramjo01.html
Alex Abrines,2016,2019,3,1993-08-01,Shooting Guard,Guard,5.3,1.4,0.5,38.7,8.8,5.0,78.0,200.0,Right,0.0,,,,,/players/a/abrinal01.html
Alex Acker,2005,2009,4,1983-01-21,Shooting Guard,Guard,2.7,1.0,0.5,37.0,8.5,-0.2,77.0,185.0,Right,0.0,Pepperdine University,Eisenhower ,Rialto,California,/players/a/ackeral01.html
Don Ackerman,1953,1954,1,1930-09-04,Point Guard,Guard,1.5,0.5,0.8,22.2,1.0,-0.6,72.0,183.0,Right,0.0,Long Island University,Metropolitan ,New York,New York,/players/a/ackerdo01.html
Mark Acres,1987,1993,6,1962-11-15,Center,Center,3.6,4.1,0.5,50.6,9.0,9.3,83.0,220.0,Right,0.0,Oral Roberts University,Palos Verdes ,Palos Verdes Estates,California,/players/a/acresma01.html
Bud Acton,1967,1968,1,1942-01-11,Small Forward,Forward,3.3,2.0,0.5,39.2,9.5,0.1,78.0,210.0,Right,0.0,Hillsdale College,Troy ,Troy,Michigan,/players/a/actonbu01.html
Quincy Acy,2012,2019,7,1990-10-06,Power Forward,Forward,4.9,3.5,0.6,44.4,11.2,8.7,79.0,240.0,Right,0.0,Baylor University,Mesquite Horn ,Mesquite,Texas,/players/a/acyqu01.html
Alvan Adams,1975,1988,13,1954-07-19,Center,Center,14.1,7.0,4.1,49.8,18.3,73.5,81.0,210.0,Right,0.0,University of Oklahoma,Putnam City ,Warr Acres,Oklahoma,/players/a/adamsal01.html
Don Adams,1970,1977,7,1947-11-27,Small Forward,Forward,8.8,5.6,1.9,40.2,10.7,11.7,78.0,210.0,Right,0.0,Northwestern University,South Fulton ,South Fulton,Georgia,/players/a/adamsdo01.html
George Adams,1972,1975,3,1949-05-15,Small Forward,Forward,7.7,4.1,1.5,49.7,14.0,6.6,77.0,210.0,Right,0.0,Gardner-Webb University,,,,/players/a/adamsge01.html
Hassan Adams,2006,2009,3,1984-06-20,Shooting Guard,Guard,2.5,1.2,0.2,53.4,11.8,0.8,76.0,220.0,Right,0.0,University of Arizona,Westchester ,Los Angeles,California,/players/a/adamsha01.html
Jaylen Adams,2018,2019,1,1996-05-04,Point Guard,Guard,3.2,1.8,1.9,34.5,7.6,0.1,74.0,190.0,Right,0.0,St. Bonaventure University,Mount St. Joseph ,Baltimore,Maryland,/players/a/adamsja01.html
Jordan Adams,2014,2016,2,1994-07-08,Shooting Guard,Guard,3.2,0.9,0.6,40.2,13.1,0.4,77.0,209.0,Right,0.0,"University of California, Los Angeles",Oak Hill Academy ,Mouth of Wilson,Virginia,/players/a/adamsjo01.html
Michael Adams,1985,1996,11,1963-01-19,Point Guard,Guard,14.7,2.9,6.4,41.5,16.6,46.9,70.0,162.0,Right,0.0,Boston College,Hartford Public ,Hartford,Connecticut,/players/a/adamsmi01.html
Steven Adams,2013,2019,6,1993-07-20,Center,Center,9.7,7.4,1.0,58.8,16.7,38.7,84.0,265.0,Right,0.0,University of Pittsburgh,Notre Dame Preparatory School ,Fitchburg,Massachusetts,/players/a/adamsst01.html
Rafael Addison,1986,1997,11,1964-07-22,Small Forward,Forward,5.8,2.1,0.9,44.9,10.5,4.9,79.0,215.0,Right,0.0,Syracuse University,Snyder ,Jersey City,New Jersey,/players/a/addisra01.html
Bam Adebayo,2017,2019,2,1997-07-18,Center,Center,8.0,6.5,1.9,55.0,17.0,11.0,82.0,255.0,Right,0.0,University of Kentucky,High Point Christian Academy ,High Point,North Carolina,/players/a/adebaba01.html
Deng Adel,2018,2019,1,1997-02-01,Small Forward,Forward,1.7,1.0,0.3,30.6,2.7,-0.2,79.0,200.0,Right,0.0,University of Louisville,Victoria Rock Prep HS ,Bradenton,Florida,/players/a/adelde01.html
Rick Adelman,1968,1975,7,1946-06-16,Point Guard,Guard,7.7,2.4,3.5,41.5,11.3,10.0,73.0,175.0,Right,0.0,Loyola Marymount University,Saint Pius X ,Downey,California,/players/a/adelmri01.html
Jeff Adrien,2010,2015,5,1986-02-10,Power Forward,Forward,4.6,4.3,0.7,47.4,15.0,4.4,79.0,245.0,Right,0.0,University of Connecticut,Brewster Academy ,Wolfeboro,New Hampshire,/players/a/adrieje01.html
Arron Afflalo,2007,2018,11,1985-10-15,Small Forward,Forward,10.8,2.9,1.8,45.0,11.9,33.5,77.0,210.0,Right,0.0,"University of California, Los Angeles",Centennial ,Compton,California,/players/a/afflaar01.html
Maurice Ager,2006,2011,5,1984-02-09,Shooting Guard,Guard,2.1,0.6,0.2,33.9,2.8,-0.9,77.0,202.0,Right,0.0,Michigan State University,Crocket ,Detroit,Michigan,/players/a/agerma01.html
Mark Aguirre,1981,1994,13,1959-12-10,Small Forward,Forward,20.0,5.0,3.1,48.4,19.0,67.8,78.0,232.0,Right,0.0,DePaul University,George Westinghouse ,Chicago,Illinois,/players/a/aguirma01.html
Blake Ahearn,2007,2012,5,1984-05-27,Point Guard,Guard,4.6,1.2,1.2,27.3,7.2,-0.2,74.0,190.0,Right,0.0,Missouri State University,De Smet Jesuit ,Creve Coeur,Missouri,/players/a/ahearbl01.html
Danny Ainge,1981,1995,14,1959-03-17,Shooting Guard,Guard,11.5,2.7,4.0,46.9,14.7,71.5,76.0,175.0,Right,0.0,Brigham Young University,Eugene ,North Eugene,Oregon,/players/a/aingeda01.html
Matthew Aitch,1967,1968,1,1944-09-21,Power Forward,Forward,5.6,3.6,0.4,40.5,11.9,0.5,79.0,230.0,Right,0.0,Michigan State University,Maplewood-Richmond Heights ,Maplewood,Missouri,/players/a/aitchma01.html
Alexis Ajinca,2008,2017,9,1988-05-06,Center,Center,5.3,3.9,0.5,50.3,14.9,7.5,86.0,248.0,Right,0.0,,,,,/players/a/ajincal01.html
Henry Akin,1966,1969,3,1944-07-31,Center,Center,3.5,2.1,0.5,35.0,7.4,-1.2,82.0,225.0,Right,0.0,Morehead State University,,,,/players/a/akinhe01.html
Josh Akognon,2012,2013,1,1986-02-10,Point Guard,Guard,1.7,0.3,0.3,50.0,15.3,0.0,71.0,185.0,Right,0.0,"Washington State University, California State University, Fullerton",Casa Grande ,Petaluma,California,/players/a/akognjo01.html
DeVaughn Akoon-Purcell,2018,2019,1,1993-06-05,Shooting Guard,Guard,1.0,0.6,0.9,30.0,8.2,0.0,78.0,200.0,Right,0.0,Illinois State University,West Oaks Academy ,Orlando,Florida,/players/a/akoonde01.html
Solomon Alabi,2010,2012,2,1988-03-21,Center,Center,1.5,2.3,0.2,31.4,10.3,0.0,85.0,251.0,Right,0.0,Florida State University,Montverde Academy ,Montverde,Florida,/players/a/alabiso01.html
Mark Alarie,1986,1991,5,1963-12-11,Power Forward,Forward,7.5,3.4,1.1,47.5,13.0,8.4,80.0,217.0,Right,0.0,Duke University,Brophy College Preparatory ,Phoenix,Arizona,/players/a/alarima01.html
Gary Alcorn,1959,1961,2,1936-10-08,Center,Center,3.3,4.2,0.3,29.3,6.5,-1.3,81.0,225.0,Right,0.0,"California State University, Fresno",,,,/players/a/alcorga01.html
Furkan Aldemir,2014,2015,1,1991-08-09,Power Forward,Forward,2.3,4.3,0.7,51.3,12.0,1.4,82.0,240.0,Right,0.0,,,,,/players/a/aldemfu01.html
Cole Aldrich,2010,2018,8,1988-10-31,Center,Center,3.1,3.3,0.5,52.7,16.6,9.6,83.0,250.0,Right,0.0,University of Kansas,Thomas Jefferson ,Bloomington,Minnesota,/players/a/aldrico01.html
LaMarcus Aldridge,2006,2019,13,1985-07-19,Power Forward,Forward,19.6,8.4,2.0,49.1,20.9,107.0,83.0,260.0,Right,0.0,University of Texas at Austin,Seagoville ,Seagoville,Texas,/players/a/aldrila01.html
Chuck Aleksinas,1984,1985,1,1959-02-26,Center,Center,5.1,3.6,0.5,47.8,9.1,0.4,83.0,260.0,Right,0.0,"University of Kentucky, University of Connecticut",Wamogo ,Litchfield,Connecticut,/players/a/aleksch01.html
Cliff Alexander,2015,2016,1,1995-11-16,Power Forward,Forward,1.3,0.8,0.0,50.0,11.6,0.0,80.0,245.0,Right,0.0,University of Kansas,Curie ,Chicago,Illinois,/players/a/alexacl01.html
Cory Alexander,1995,2005,10,1973-06-22,Point Guard,Guard,5.5,1.6,2.7,38.9,12.4,3.0,73.0,185.0,Right,0.0,University of Virginia,Oak Hill Academy ,Mouth of Wilson,Virginia,/players/a/alexaco01.html
Courtney Alexander,2000,2003,3,1977-04-27,Point Guard,Guard,9.0,2.2,1.2,42.2,11.5,4.1,77.0,205.0,Right,0.0,"University of Virginia, California State University, Fresno",Jordan ,Durham,North Carolina,/players/a/alexaco02.html
Gary Alexander,1993,1994,1,1969-11-01,Power Forward,Forward,1.7,1.4,0.2,57.1,8.6,0.0,79.0,240.0,Right,0.0,University of South Florida,William M. Raines ,Jacksonville,Florida,/players/a/alexaga01.html
Joe Alexander,2008,2010,2,1986-12-26,Small Forward,Forward,4.2,1.8,0.7,41.0,9.9,0.5,80.0,230.0,Right,0.0,West Virginia University,Hargrave Military Academy ,Chatham,Virginia,/players/a/alexajo01.html
Victor Alexander,1991,2002,11,1969-08-31,Center,Center,8.9,4.8,0.9,51.8,13.7,8.8,81.0,265.0,Right,0.0,Iowa State University,Denby ,Detroit,Michigan,/players/a/alexavi01.html
Steve Alford,1987,1991,4,1964-11-23,Point Guard,Guard,4.4,0.9,1.0,45.9,14.4,3.2,74.0,183.0,Right,0.0,Indiana University,Chrysler ,New Castle,Indiana,/players/a/alforst01.html
Rawle Alkins,2018,2019,1,1997-10-29,Shooting Guard,Guard,3.7,2.6,1.3,33.3,8.1,-0.1,77.0,225.0,Right,0.0,University of Arizona,Word of God Academy ,Raleigh,North Carolina,/players/a/alkinra01.html
Bill Allen,1967,1968,1,,Center,Center,7.9,7.1,0.6,42.9,11.9,0.6,80.0,205.0,Right,0.0,New Mexico State University,,,,/players/a/allenbi01.html
Bob Allen,1968,1969,1,1946-07-17,Power Forward,Forward,1.8,2.1,0.4,32.6,6.8,0.1,81.0,205.0,Right,0.0,Marshall University,,,,/players/a/allenbo01.html
Grayson Allen,2018,2019,1,1995-10-08,Shooting Guard,Guard,5.6,0.6,0.7,37.6,7.5,0.0,77.0,198.0,Right,0.0,Duke University,Providence School ,Jacksonville,Florida,/players/a/allengr01.html
Jarrett Allen,2017,2019,2,1998-04-21,Center,Center,9.6,7.0,1.0,59.0,18.1,11.9,83.0,237.0,Right,0.0,University of Texas at Austin,St. Stephen's Episcopal School ,Austin,Texas,/players/a/allenja01.html
Jerome Allen,1995,1997,2,1973-01-28,Shooting Guard,Guard,2.9,1.1,1.7,35.0,8.5,0.2,76.0,184.0,Right,0.0,University of Pennsylvania,Episcopal Academy ,Merion Station,Pennsylvania,/players/a/allenje01.html
Kadeem Allen,2017,2019,2,1993-01-15,Shooting Guard,Guard,5.6,1.7,2.4,43.6,13.4,0.9,75.0,192.0,Right,0.0,University of Arizona,New Hanover ,Wilmington,North Carolina,/players/a/allenka01.html
Lavoy Allen,2011,2017,6,1989-02-04,Power Forward,Forward,4.8,4.8,1.0,47.1,12.5,13.8,81.0,260.0,Right,0.0,Temple University,Pennsbury ,Fairless Hills,Pennsylvania,/players/a/allenla01.html
Lucius Allen,1969,1979,10,1947-09-26,Point Guard,Guard,13.4,3.1,4.5,46.3,15.5,42.0,74.0,175.0,Right,0.0,"University of California, Los Angeles",Wyandotte ,Kansas City,Kansas,/players/a/allenlu01.html
Malik Allen,2001,2011,10,1978-06-27,Power Forward,Forward,4.9,2.8,0.5,43.9,9.9,6.6,82.0,255.0,Right,0.0,Villanova University,Shawnee ,Medford,New Jersey,/players/a/allenma01.html
Randy Allen,1988,1990,2,1965-01-26,Shooting Guard,Guard,3.6,2.1,0.3,44.2,8.3,0.2,80.0,220.0,Right,0.0,Florida State University,Milton ,Milton,Florida,/players/a/allenra01.html
Ray Allen,1996,2014,18,1975-07-20,Shooting Guard,Guard,18.9,4.1,3.4,45.2,18.6,145.1,77.0,205.0,Right,1.0,University of Connecticut,Hillcrest ,Dalzell,South Carolina,/players/a/allenra02.html
Tony Allen,2004,2018,14,1982-01-11,Small Forward,Forward,8.1,3.5,1.3,47.5,14.2,38.7,76.0,213.0,Right,0.0,"Butler County Community College, Oklahoma State University",Crane Technical Preparatory ,Chicago,Illinois,/players/a/allento01.html
Willie Allen,1971,1972,1,1949-02-08,Power Forward,Forward,1.9,2.0,0.6,30.8,5.7,0.0,78.0,230.0,Right,0.0,University of Miami,Richard Montgomery ,Rockville,Maryland,/players/a/allenwi01.html
Odis Allison,1971,1972,1,1949-10-02,Small Forward,Forward,1.9,1.3,0.3,21.8,4.7,-0.6,78.0,195.0,Right,0.0,"University of Nevada, Las Vegas",McClymonds ,Oakland,California,/players/a/allisod01.html
Lance Allred,2007,2008,1,1981-02-02,Center,Center,1.0,0.3,0.0,25.0,-1.0,0.0,83.0,250.0,Right,0.0,"University of Utah, Weber State University",East ,Salt Lake City,Utah,/players/a/allrela01.html
Darrell Allums,1980,1981,1,1958-09-12,Power Forward,Forward,2.7,3.0,1.1,34.3,5.3,-0.3,81.0,220.0,Right,0.0,"University of California, Los Angeles",Lynwood ,Lynwood,California,/players/a/allumda01.html
Morris Almond,2007,2012,5,1985-02-02,Shooting Guard,Guard,3.1,1.2,0.3,38.1,7.0,0.0,78.0,225.0,Right,0.0,Rice University,McEachern ,Powder Springs,Georgia,/players/a/almonmo01.html
Derrick Alston,1994,1997,3,1972-08-20,Center,Center,5.4,3.8,0.7,48.9,11.7,2.6,83.0,225.0,Right,0.0,Duquesne University,Hoboken ,Hoboken,New Jersey,/players/a/alstode01.html
Rafer Alston,1999,2010,11,1976-07-24,Point Guard,Guard,10.1,2.8,4.8,38.3,13.2,32.9,74.0,171.0,Right,0.0,"California State University, Fresno",Benjamin Cardozo ,Bayside,New York,/players/a/alstora01.html
Peter Aluma,1998,1999,1,1973-04-23,Center,Center,1.0,1.0,0.0,50.0,3.1,0.0,82.0,260.0,Right,0.0,Liberty University,Okota Grammar School ,Isolo,Nigeria,/players/a/alumape01.html
John Amaechi,1995,2003,8,1970-11-26,Power Forward,Forward,6.2,2.6,0.8,40.3,8.9,0.5,82.0,270.0,Right,0.0,"Vanderbilt University, Pennsylvania State University",Saint John's ,Toledo,Ohio,/players/a/amaecjo01.html
Ashraf Amaya,1995,1997,2,1971-11-23,Power Forward,Forward,4.5,4.2,0.4,45.5,11.5,1.9,80.0,230.0,Right,0.0,Southern Illinois University,Walther Lutheran ,Melrose Park,Illinois,/players/a/amayaas01.html
Al-Farouq Aminu,2010,2019,9,1990-09-21,Power Forward,Forward,7.7,6.1,1.2,42.3,12.4,27.4,81.0,220.0,Right,0.0,Wake Forest University,Norcross ,Norcross,Georgia,/players/a/aminual01.html
Lou Amundson,2006,2016,10,1982-12-07,Power Forward,Forward,3.7,3.6,0.4,47.4,12.0,6.9,81.0,220.0,Right,0.0,"University of Nevada, Las Vegas",Monarch ,Louisville,Colorado,/players/a/amundlo01.html
Bob Anderegg,1959,1960,1,1937-08-24,Small Forward,Forward,4.0,2.1,0.9,38.5,9.3,0.0,75.0,200.0,Right,0.0,Michigan State University,Monroe ,Monroe,Wisconsin,/players/a/anderbo01.html
Chris Andersen,2001,2017,16,1978-07-07,Center,Center,5.4,5.0,0.5,53.2,16.7,39.7,82.0,245.0,Right,0.0,Blinn College,Iola ,Iola,Texas,/players/a/anderch01.html
David Andersen,2009,2011,2,1980-06-23,Center,Center,4.9,2.8,0.6,44.0,11.7,1.5,83.0,245.0,Right,0.0,,,,,/players/a/anderda03.html
Alan Anderson,2005,2017,12,1982-10-16,Shooting Guard,Guard,7.3,2.2,1.1,40.5,10.3,7.4,78.0,220.0,Right,0.0,Michigan State University,DeLaSalle ,Minneapolis,Minnesota,/players/a/anderal01.html
Andrew Anderson,1967,1970,3,1945-07-06,Shooting Guard,Guard,10.7,2.7,1.7,41.0,10.9,3.5,74.0,184.0,Right,0.0,Canisius College,,,,/players/a/anderan01.html
Antonio Anderson,2009,2010,1,1985-06-05,Small Forward,Forward,2.0,1.0,0.0,33.3,-1.7,0.0,78.0,215.0,Right,0.0,University of Memphis,Laurinburg Institute ,Laurinburg,North Carolina,/players/a/anderan02.html
Cliff Anderson,1967,1971,4,1944-09-07,Shooting Guard,Guard,3.0,1.3,0.9,35.4,10.6,0.3,74.0,200.0,Right,0.0,Saint Joseph's University,Thomas Edison ,Philadelphia,Pennsylvania,/players/a/andercl01.html
Dan Anderson,1967,1969,2,1943-02-15,Center,Center,12.2,9.4,1.1,48.1,17.5,10.9,82.0,230.0,Right,0.0,Augsburg College,,,,/players/a/anderda01.html
Dan Anderson,1974,1976,2,1951-01-01,Shooting Guard,Guard,3.7,1.0,1.7,47.2,12.3,1.6,74.0,185.0,Right,0.0,University of Southern California,North Torrance ,Torrance,California,/players/a/anderda02.html
Derek Anderson,1997,2008,11,1974-07-18,Shooting Guard,Guard,12.0,3.2,3.4,40.8,15.3,43.9,77.0,194.0,Right,0.0,"Ohio State University, University of Kentucky",Doss ,Louisville,Kentucky,/players/a/anderde01.html
Dwight Anderson,1982,1983,1,1960-12-28,Point Guard,Guard,4.2,0.4,0.6,50.0,10.6,0.0,75.0,185.0,Right,0.0,"University of Kentucky, University of Southern California",Roth ,Dayton,Ohio,/players/a/anderdw01.html
Eric Anderson,1992,1994,2,1970-05-26,Power Forward,Forward,1.6,1.1,0.2,34.3,13.1,0.2,81.0,220.0,Right,0.0,Indiana University,Saint Francis DeSales ,Chicago,Illinois,/players/a/anderer01.html
Greg Anderson,1987,1998,11,1964-06-22,Power Forward,Forward,7.3,6.2,0.6,49.2,13.0,18.7,82.0,230.0,Right,0.0,University of Houston,Evan E. Worthing ,Houston,Texas,/players/a/andergr01.html
J.J. Anderson,1982,1985,3,1960-09-23,Small Forward,Forward,4.8,2.8,0.7,46.5,12.1,2.7,80.0,195.0,Right,0.0,Bradley University,Metro ,Chicago,Illinois,/players/a/anderjj01.html
James Anderson,2010,2016,6,1989-03-25,Shooting Guard,Guard,5.8,2.3,1.2,41.1,9.9,3.3,78.0,213.0,Right,0.0,Oklahoma State University,Junction City ,Junction City,Arkansas,/players/a/anderja01.html
Jerome Anderson,1975,1977,2,1953-10-09,Shooting Guard,Guard,2.6,0.5,0.3,49.0,11.4,0.4,77.0,195.0,Right,0.0,West Virginia University,Mullens ,Mullens,West Virginia,/players/a/anderje01.html
Justin Anderson,2015,2019,4,1993-11-19,Small Forward,Forward,5.3,2.6,0.7,41.9,12.9,4.7,78.0,230.0,Left,0.0,University of Virginia,Montrose Christian ,Rockville,Maryland,/players/a/anderju01.html
Kenny Anderson,1991,2005,14,1970-10-09,Point Guard,Guard,12.6,3.1,6.1,42.1,16.4,62.5,72.0,168.0,Left,0.0,Georgia Institute of Technology,Archbishop Molloy ,Jamaica,New York,/players/a/anderke01.html
Kim Anderson,1978,1979,1,1955-05-12,Small Forward,Forward,3.0,2.1,0.7,31.2,3.0,-0.4,79.0,200.0,Right,0.0,University of Missouri,Smith-Cotton ,Sedali,Missouri,/players/a/anderki01.html
Kyle Anderson,2014,2019,5,1993-09-20,Small Forward,Forward,5.3,3.9,1.9,49.2,13.5,15.4,81.0,230.0,Right,0.0,"University of California, Los Angeles",St. Anthony's ,Jersey City,New Jersey,/players/a/anderky01.html
Michael Anderson,1988,1989,1,1966-03-23,Point Guard,Guard,5.7,2.5,4.3,41.7,10.5,0.2,71.0,184.0,Right,0.0,Drexel University,George Washington Carver High School of Engineering and Science ,Philadelphia,Pennsylvania,/players/a/andermi01.html
Nick Anderson,1989,2002,13,1968-01-20,Shooting Guard,Guard,14.4,5.1,2.6,44.6,15.8,55.3,78.0,205.0,Right,0.0,University of Illinois at Urbana-Champaign,Simeon Vocational School ,Chicago,Illinois,/players/a/anderni01.html
Richard Anderson,1982,1990,8,1960-11-19,Power Forward,Forward,5.6,3.5,1.5,41.2,12.3,7.6,82.0,240.0,Right,0.0,"University of California, Santa Barbara",Rancho Alamitos ,Garden Grove,California,/players/a/anderri01.html
Ron Anderson,1984,1994,10,1958-10-15,Small Forward,Forward,10.6,3.5,1.4,47.1,14.3,24.2,79.0,215.0,Right,0.0,"California State University, Fresno",Bowen ,Chicago,Illinois,/players/a/anderro01.html
Ryan Anderson,2008,2019,11,1988-05-06,Power Forward,Forward,12.4,5.3,0.9,42.2,16.5,46.7,82.0,240.0,Right,0.0,University of California,Oak Ridge ,El Dorado Hills,California,/players/a/anderry01.html
Shandon Anderson,1996,2006,10,1973-12-31,Small Forward,Forward,7.4,3.1,1.4,45.7,11.7,23.6,78.0,208.0,Right,0.0,University of Georgia,Crim ,Atlanta,Georgia,/players/a/andersh01.html
Willie Anderson,1988,1997,9,1967-01-08,Small Forward,Forward,12.2,3.8,3.8,47.1,13.8,27.9,79.0,190.0,Right,0.0,University of Georgia,East Atlanta ,Atlanta,Georgia,/players/a/anderwi01.html
Wally Anderzunas,1969,1970,1,1946-01-11,Small Forward,Forward,3.6,1.9,0.2,39.2,8.8,-0.2,79.0,220.0,Right,0.0,Creighton University,Creighton Preparatory School ,Omaha,Nebraska,/players/a/anderwa01.html
Martynas Andriuskevicius,2005,2006,1,1986-03-12,Center,Center,0.0,0.7,0.0,0.0,15.5,0.0,86.0,240.0,Right,0.0,,,,,/players/a/andrima01.html
Don Anielak,1954,1955,1,1930-11-01,Small Forward,Forward,3.0,2.0,0.0,0.0,1.8,-0.1,79.0,190.0,Right,0.0,Missouri State University,,,,/players/a/anieldo01.html
Ike Anigbogu,2017,2019,2,1998-10-17,Center,Center,0.9,0.9,0.1,33.3,17.0,0.0,82.0,250.0,Right,0.0,"University of California, Los Angeles",Centennial ,Corono,California,/players/a/anigbik01.html
Michael Ansley,1989,1992,3,1967-02-08,Small Forward,Forward,6.9,4.2,0.4,51.3,17.0,6.4,79.0,225.0,Right,0.0,University of Alabama,Jackson-Olin ,Birmingham,Alabama,/players/a/anslemi01.html
Chris Anstey,1997,2000,3,1975-01-01,Center,Center,5.2,3.4,0.8,41.3,13.2,2.8,84.0,249.0,Right,0.0,,Catholic Regional College ,Melbourne,Australia,/players/a/anstech01.html
Giannis Antetokounmpo,2013,2019,6,1994-12-06,Small Forward,Forward,18.8,8.3,4.1,52.1,21.9,53.2,83.0,242.0,Right,0.0,,,,,/players/a/antetgi01.html
Kostas Antetokounmpo,2018,2019,1,1997-11-20,Power Forward,Forward,1.0,0.5,0.0,0.0,-0.9,-0.1,82.0,200.0,Right,0.0,University of Dayton,Dominican HS ,Whitefish Bay,Wisconsin,/players/a/antetko01.html
Thanasis Antetokounmpo,2015,2016,1,1992-07-17,Small Forward,Forward,3.0,0.5,0.0,75.0,32.9,0.0,79.0,205.0,Right,0.0,,,,,/players/a/antetth01.html
Carmelo Anthony,2003,2019,16,1984-05-29,Small Forward,Forward,24.0,6.5,3.0,44.9,20.3,101.0,80.0,240.0,Right,0.0,Syracuse University,Oak Hill Academy ,Mouth of Wilson,Virginia,/players/a/anthoca01.html
Greg Anthony,1991,2002,11,1967-11-15,Point Guard,Guard,7.3,1.9,4.0,40.3,14.5,35.9,72.0,176.0,Left,0.0,"University of Portland, University of Nevada, Las Vegas",Rancho ,North Las Vegas,Nevada,/players/a/anthogr01.html
Joel Anthony,2007,2017,10,1982-08-09,Center,Center,2.2,2.8,0.2,51.3,9.7,15.3,81.0,245.0,Left,0.0,"University of Nevada, Las Vegas",Dawson College ,Montreal,Canada,/players/a/anthojo01.html
Pero Antic,2013,2015,2,1982-07-29,Center,Center,6.3,3.5,0.9,39.2,10.6,3.0,83.0,260.0,Right,0.0,,,,,/players/a/anticpe01.html
OG Anunoby,2017,2019,2,1997-07-17,Small Forward,Forward,6.4,2.7,0.7,46.1,9.9,5.0,80.0,232.0,Right,0.0,Indiana University,Jefferson City ,Jefferson City,Missouri,/players/a/anunoog01.html
Keith Appling,2015,2016,1,1992-02-13,Point Guard,Guard,1.2,0.2,0.2,25.0,-4.8,-0.1,73.0,185.0,Right,0.0,Michigan State University,Pershing ,Detroit,Michigan,/players/a/applike01.html
Rafael Araujo,2004,2007,3,1980-08-12,Center,Center,2.8,2.8,0.3,40.5,6.3,-0.4,83.0,280.0,Right,0.0,Brigham Young University,Padre Anacleto ,Sao Paulo,Brazil,/players/a/araujra01.html
Stacey Arceneaux,1961,1962,1,1936-02-17,Small Forward,Forward,7.1,4.6,0.6,39.3,10.4,-0.1,76.0,210.0,Right,0.0,Iowa State University,Taft ,New York,New York,/players/a/arcenst01.html
Robert Archibald,2002,2004,2,1980-03-29,Center,Center,1.2,1.6,0.4,28.3,4.9,0.0,83.0,250.0,Right,0.0,University of Illinois at Urbana-Champaign,Lafayette ,Ballwin,Missouri,/players/a/archiro01.html
Tiny Archibald,1970,1984,14,1948-09-02,Point Guard,Guard,18.8,2.3,7.4,46.7,18.0,83.4,73.0,150.0,Left,1.0,University of Texas at El Paso,DeWitt Clinton ,Bronx,New York,/players/a/architi01.html
Ryan Arcidiacono,2017,2019,2,1994-03-26,Point Guard,Guard,5.6,2.3,2.9,44.4,11.0,4.0,75.0,200.0,Right,0.0,Villanova University,Neshaminy ,Langhorne,Pennsylvania,/players/a/arcidry01.html
Jim Ard,1970,1978,8,1948-09-19,Center,Center,4.4,4.3,0.6,40.2,10.6,4.0,80.0,215.0,Right,0.0,University of Cincinnati,Thornton Township ,Harvey,Illinois,/players/a/ardji01.html
Gilbert Arenas,2001,2012,11,1982-01-06,Point Guard,Guard,20.7,3.9,5.3,42.1,19.6,51.3,75.0,191.0,Right,0.0,University of Arizona,Grant ,Van Nuys,California,/players/a/arenagi01.html
