name,career_length,ppg,trb,ast,per,ws,hof_pred_log,hof_pred_log_proba
Nerlens Noel,5,8.2,6.5,1.2,16.9,16.6,0,0.01184030324574341
Emeka Okafor,14,12.0,9.7,0.8,17.0,45.3,0,0.011759254969126417
Ed Davis,9,6.5,6.8,0.8,16.7,41.3,0,0.011568076155898105
Isaiah Whitehead,2,7.2,2.4,2.4,7.9,-0.9,0,0.01154579396134294
Frank Ntilikina,2,5.9,2.2,3.1,6.7,-1.8,0,0.011391888871051444
Dejounte Murray,2,6.6,4.2,2.3,14.2,3.2,0,0.011321213848368813
Evan Turner,9,9.9,4.7,3.5,12.0,20.5,0,0.011066411844549363
JaMychal Green,5,8.4,6.1,0.9,14.1,14.2,0,0.010941502792657879
Zhaire Smith,1,6.7,2.2,1.7,9.5,0.1,0,0.010917682840858567
Ryan Arcidiacono,2,5.6,2.3,2.9,11.0,4.0,0,0.010915540539057182
Damyean Dotson,2,8.2,3.0,1.4,10.9,2.1,0,0.010876036689428225
Terry Rozier,4,7.7,3.6,2.3,12.8,9.9,0,0.01083421441604965
Rodney Purvis,1,6.0,1.7,1.1,4.5,-0.3,0,0.010639603980394716
Carl Landry,9,10.8,4.9,0.7,17.5,35.9,0,0.010542525593814559
Mitchell Robinson,1,7.3,6.4,0.6,22.0,6.1,0,0.01053395384896113
Thomas Bryant,2,9.0,5.4,1.1,20.5,5.6,0,0.010503099217562619
Harry Giles,1,7.0,3.8,1.5,14.4,1.0,0,0.010457362962020765
Tyler Ulis,3,7.5,1.7,4.0,11.3,0.5,0,0.01022263948973734
Chandler Hutchison,1,5.2,4.2,0.8,8.8,0.6,0,0.01017016265414338
Royce O'Neale,2,5.1,3.5,1.5,9.7,5.6,0,0.010082464230278114
Raymond Felton,14,11.2,3.0,5.2,13.8,40.2,0,0.010031442205279255
Jason Thompson,8,8.9,6.6,1.1,13.5,23.8,0,0.009978423245503704
Mario Chalmers,10,8.9,2.5,3.7,12.7,32.3,0,0.009791572281379097
Danny Green,10,9.0,3.5,1.6,13.2,39.2,0,0.009773736951941916
Michael Kidd-Gilchrist,7,8.8,5.6,1.2,13.7,21.2,0,0.009716091462859575
Trey Burke,6,10.9,2.1,3.6,14.0,10.2,0,0.00970862188597526
Jahlil Okafor,4,11.5,5.1,0.9,16.5,5.3,0,0.009649751486076783
Omari Spellman,1,5.9,4.2,1.0,12.4,1.2,0,0.009466687729532717
Dion Waiters,7,13.2,2.7,2.8,12.0,8.7,0,0.009451677018120153
Malcolm Delaney,2,5.7,1.8,2.8,8.9,1.1,0,0.009397426846862962
Omari Johnson,1,5.5,2.8,1.8,10.5,0.1,0,0.009357157731696548
Rodney McGruder,3,6.7,3.2,1.6,9.4,5.6,0,0.009324234741695785
Bryce Dejean-Jones,1,5.6,3.4,1.1,9.6,0.2,0,0.00930858594060098
Greivis Vasquez,7,9.0,2.5,4.8,13.7,12.6,0,0.009299100516626442
Dusty Hannahs,1,4.0,0.5,2.5,4.5,-0.1,0,0.00927200357766466
Will Barton,7,10.5,3.9,2.4,14.4,16.4,0,0.009225693939963754
Nemanja Bjelica,4,7.1,4.4,1.5,12.9,10.7,0,0.009213543665952504
Mohamed Bamba,1,6.2,5.0,0.8,14.9,1.7,0,0.009210827108029732
Jamel Artis,1,5.1,2.5,1.2,6.9,0.0,0,0.009093040733526715
Tony Wroten,4,11.1,2.5,3.0,12.6,-1.3,0,0.009069874116831099
Kelly Oubre,4,9.4,3.7,0.8,11.8,8.3,0,0.008939894417724413
Justin Jackson,2,7.0,2.7,1.1,10.3,3.9,0,0.0089338408727157
Andrew Harrison,3,7.0,2.0,2.8,10.3,3.2,0,0.008881943850807459
Bruce Brown,1,4.3,2.5,1.2,6.9,1.5,0,0.008764369284625574
Devin Harris,15,10.8,2.2,3.9,16.0,54.9,0,0.008752189210448312
Isaiah Briscoe,1,3.5,1.9,2.2,6.7,0.3,0,0.008659906603359893
Isaiah Taylor,2,6.3,1.4,2.9,10.4,0.6,0,0.008465796481146426
Metta World Peace,18,13.2,4.5,2.7,14.8,61.1,0,0.008432095709291761
Dwight Powell,5,7.5,4.5,0.9,18.5,22.4,0,0.008404358021878338
Bryn Forbes,3,8.2,1.9,1.4,10.5,6.0,0,0.008286950123218579
Devonte' Graham,1,4.7,1.4,2.6,10.3,0.5,0,0.008284222435248935
Jarrett Jack,13,10.8,2.9,4.6,14.1,36.8,0,0.008222187691443431
Maxi Kleber,2,6.1,3.9,0.8,13.2,6.3,0,0.00812320447247881
Shaquille Harrison,2,6.5,2.9,2.0,13.0,2.2,0,0.007958620183506843
Delon Wright,4,7.4,2.8,2.7,15.9,10.5,0,0.007941868596340088
Alex Caruso,2,5.9,2.1,2.5,11.2,1.5,0,0.007920846133894236
Billy Garrett,1,6.5,0.8,1.8,9.8,0.0,0,0.007909234994429283
OG Anunoby,2,6.4,2.7,0.7,9.9,5.0,0,0.007867692165969685
Frank Mason,2,6.8,1.9,2.6,12.8,0.9,0,0.007731811993942993
Robin Lopez,11,9.1,5.3,0.8,16.3,43.0,0,0.007694858629955511
Jevon Carter,1,4.4,1.7,1.8,7.8,0.0,0,0.007651460480215312
Patricio Garino,1,0.0,1.4,0.0,-9.2,-0.2,0,0.007558233128258817
Zach Collins,2,5.6,3.8,0.9,10.9,3.6,0,0.007486477887385002
Joe Harris,5,9.4,2.8,1.5,11.9,10.4,0,0.007486134545138719
David Nwaba,3,7.2,3.9,1.2,12.3,4.6,0,0.0074579948273866955
Jeremy Lamb,7,10.2,3.7,1.5,16.1,20.8,0,0.007448215227598022
Al-Farouq Aminu,9,7.7,6.1,1.2,12.4,27.4,0,0.00738238853973042
Jonathon Simmons,4,8.3,2.4,1.9,11.0,6.2,0,0.007376836699839558
Ersan Ilyasova,13,10.6,5.8,1.1,15.4,44.9,0,0.007336509352142333
Kobi Simmons,2,5.9,1.5,2.1,7.7,-0.2,0,0.007332038844219185
Troy Brown,1,4.8,2.8,1.5,11.1,0.6,0,0.0073300127567867985
J.J. Hickson,8,9.5,6.8,0.8,16.1,21.9,0,0.0072862955219710705
Kyle Collinsworth,1,3.2,3.3,1.8,10.0,0.5,0,0.007271120237607674
