name,career_length,ppg,trb,ast,per,ws,hof_pred_log,hof_pred_log_proba
Tony Snell,6,6.2,2.4,1.0,9.0,13.5,0,0.0035923330602621265
C.J. Williams,2,4.7,1.2,1.0,9.4,0.9,0,0.00358358612970606
Angel Delgado,1,1.5,2.0,0.0,4.3,0.0,0,0.0035374289591722555
Phil Pressey,3,3.2,1.5,2.9,9.9,0.8,0,0.003535679269454146
Brad Wanamaker,1,3.9,1.1,1.6,14.3,1.0,0,0.003529723266658714
DeJuan Blair,7,6.8,5.1,0.8,16.5,19.0,0,0.0035206081187880455
Melvin Frazier,1,1.5,0.5,0.1,1.2,-0.1,0,0.0035001282954181512
Solomon Hill,6,5.9,3.3,1.5,9.0,9.2,0,0.0034945543282323983
Semi Ojeleye,2,3.0,1.9,0.3,5.9,1.9,0,0.0034900519218031226
Alex Abrines,3,5.3,1.4,0.5,8.8,5.0,0,0.0034800997022352257
Ray Spalding,1,3.9,3.4,0.4,14.6,0.2,0,0.003479254406717144
Troy Williams,3,6.0,2.7,0.7,11.0,1.3,0,0.003459592893173524
Matt Barnes,14,8.2,4.6,1.8,12.7,42.8,0,0.0034427875837837645
Haywood Highsmith,1,1.8,1.0,0.4,4.5,0.0,0,0.0034222562475536215
Gary Neal,7,9.9,2.2,1.6,12.6,10.7,0,0.003416983841692857
Lavoy Allen,6,4.8,4.8,1.0,12.5,13.8,0,0.003405981900001738
Randy Foye,11,10.3,2.2,2.8,12.0,23.5,0,0.0033591527452191488
Brandon Paul,1,2.3,1.1,0.6,7.4,0.5,0,0.0033032266471996366
Thon Maker,3,4.6,2.8,0.6,11.4,4.8,0,0.003300886418930176
Gian Clavell,1,2.9,1.0,0.4,7.4,0.1,0,0.0032870615864922137
Seth Curry,6,9.3,1.9,1.7,13.8,8.4,0,0.0032773066090657633
Damien Inglis,1,1.8,1.6,0.5,6.7,-0.1,0,0.0032765793715184405
Tarik Black,4,4.9,4.7,0.5,14.4,7.7,0,0.003272822324244427
Daniel Hamilton,2,2.8,2.1,1.2,8.5,0.0,0,0.003265776117925389
Tyler Zeller,7,7.0,4.4,0.9,14.9,17.1,0,0.0032652790123689824
Dante Exum,5,5.9,1.8,2.3,8.1,2.7,0,0.0032460348101418643
Chinanu Onuaku,2,3.0,2.3,0.7,7.7,0.1,0,0.003231154564584576
London Perrantes,1,0.5,0.3,0.4,0.7,-0.1,0,0.00321738314061175
Anthony Brown,3,3.9,2.5,0.7,5.6,-0.2,0,0.0032130342946090607
Cheick Diallo,3,5.5,4.6,0.4,17.3,5.0,0,0.0032027838192988786
Donald Sloan,5,5.5,2.1,3.0,11.9,4.0,0,0.0031980325294205737
Shane Larkin,5,5.5,1.9,2.9,11.4,4.4,0,0.003196188242999614
Tyler Hansbrough,7,6.7,4.2,0.4,14.8,20.2,0,0.0031932578851738423
Abdel Nader,2,3.6,1.7,0.4,7.2,0.8,0,0.0031847772621979194
Georgios Papagiannis,2,4.1,3.2,0.7,12.6,0.4,0,0.003180718196198688
Kevon Looney,4,4.5,3.8,1.0,15.9,10.3,0,0.003179759907804808
Chasson Randle,3,5.4,1.2,1.7,11.0,1.3,0,0.003172909813909981
Tyler Davis,1,0.0,1.0,0.0,0.0,0.0,0,0.003171072072382709
Nik Stauskas,5,6.8,2.1,1.5,9.1,3.8,0,0.003114062059406095
Treveon Graham,3,4.1,2.0,0.8,8.1,2.7,0,0.003109352520161576
Brian Roberts,5,6.6,1.3,2.3,13.0,7.4,0,0.003095720914227345
Ben McLemore,6,8.8,2.5,1.1,9.3,4.6,0,0.0030808198469853367
Iman Shumpert,8,7.3,3.4,1.9,9.8,12.9,0,0.003072289257760588
Shabazz Muhammad,5,9.0,2.8,0.5,15.9,8.5,0,0.003051950435622791
Patrick McCaw,3,3.7,1.5,1.2,7.9,2.8,0,0.0030506451002198847
Deonte Burton,1,2.6,0.9,0.3,7.0,0.1,0,0.003050086960195123
Caleb Swanigan,2,2.2,2.5,0.5,6.1,-0.2,0,0.003049884776378621
Axel Toupane,2,3.5,1.3,0.6,7.0,0.4,0,0.0030399503919755796
Jalen Jones,2,4.8,2.3,0.3,11.0,0.4,0,0.0030351583972075408
Norris Cole,6,7.0,2.0,2.7,9.2,3.0,0,0.003027450590220619
Vince Edwards,1,1.5,1.0,0.0,3.8,0.0,0,0.0030113010716372756
Khyri Thomas,1,2.3,0.8,0.3,6.2,0.0,0,0.003007287078263788
Pat Connaughton,4,4.6,2.3,1.2,11.0,6.8,0,0.0030059974727262673
Chase Budinger,7,7.9,3.0,1.2,13.0,13.9,0,0.0029766298820038633
Cristiano Felicio,4,4.6,4.1,0.7,14.2,7.7,0,0.0029766094825359342
Patty Mills,10,8.4,1.7,2.4,14.4,27.5,0,0.0029656475494679924
Joffrey Lauvergne,4,5.6,3.8,0.9,14.3,5.2,0,0.0029642564467534487
Chimezie Metu,1,1.8,1.2,0.4,6.4,-0.3,0,0.002953137531465446
Maurice Ndour,1,3.1,2.0,0.3,11.3,0.4,0,0.0029467934386636536
Kay Felder,2,3.8,1.0,1.3,9.3,-0.4,0,0.002940263315036324
Anfernee Simons,1,3.8,0.7,0.7,11.1,0.1,0,0.0029251470766766116
Jarell Martin,4,5.4,3.5,0.6,10.5,3.2,0,0.0029155971415068304
Udonis Haslem,16,7.6,6.7,0.9,13.0,50.7,0,0.002913417937084359
Kyle Singler,6,6.5,2.9,0.8,9.5,10.0,0,0.0029003555037023553
Chris Kaman,13,11.2,7.6,1.3,14.9,24.6,0,0.0028991036167035065
Tahjere McCall,1,4.0,1.0,0.0,9.6,0.0,0,0.0028943970249140994
Alec Burks,8,9.5,3.0,1.7,13.6,13.0,0,0.0028878986853508805
Sheldon Mac,1,3.0,1.1,0.5,10.1,0.5,0,0.0028765533782380294
Jordan Hill,8,7.9,5.8,0.8,16.3,16.4,0,0.002870597333161202
Isaac Bonga,1,0.9,1.1,0.7,6.0,-0.1,0,0.0028405698688077946
Tyler Cavanaugh,2,3.8,2.7,0.6,12.4,1.2,0,0.002837284275034169
Devyn Marble,2,2.2,1.6,0.7,5.5,-0.3,0,0.0028356491811154863
Andre Ingram,2,4.0,1.3,1.2,10.9,0.1,0,0.0028341352413207206
Anthony Morrow,9,9.4,2.2,0.9,13.2,23.2,0,0.002816493771512838
Ron Baker,3,3.1,1.4,1.8,7.4,0.2,0,0.0028046074531634757
Mirza Teletovic,6,8.1,3.2,0.8,13.0,8.8,0,0.0027997151679916574
Justin Hamilton,4,6.1,3.6,0.8,13.9,3.7,0,0.002796431186072703
Shabazz Napier,5,6.4,1.7,2.0,12.7,6.4,0,0.0027899990337969024
Sam Dekker,4,5.5,3.0,0.8,12.7,5.4,0,0.0027887756340925387
A.J. Hammons,1,2.2,1.6,0.2,8.4,0.0,0,0.002775272003699466
Davon Reed,2,2.4,1.5,0.5,5.3,-0.2,0,0.002766484008809404
Dzanan Musa,1,2.1,0.6,0.2,5.8,-0.1,0,0.0027646207095280663
Antonius Cleveland,1,1.4,0.8,0.1,4.5,0.0,0,0.0027590029937045284
Alex Stepheson,1,2.8,3.5,0.3,14.8,0.1,0,0.00272820071033867
Isaiah Canaan,6,8.1,1.9,1.9,10.7,4.3,0,0.002699237321554318
Raul Neto,4,4.8,1.3,1.9,11.1,4.6,0,0.002697964322944075
K.J. McDaniels,3,5.3,2.2,0.6,10.8,1.3,0,0.0026973248264027245
George King,1,0.0,1.0,0.0,1.9,0.0,0,0.0026861985448743604
Isaiah Hartenstein,1,1.9,1.7,0.5,10.0,0.5,0,0.002671666939396999
Jabari Bird,1,3.0,1.5,0.6,12.1,0.2,0,0.002650087315818872
James Johnson,10,7.9,3.6,2.1,14.5,23.5,0,0.0026497806892707143
Jacob Wiley,1,0.8,2.2,0.4,8.2,0.1,0,0.0026474140586776637
Stephen Zimmerman,1,1.2,1.8,0.2,7.3,0.0,0,0.002640516637357393
Marcus Paige,1,2.4,0.8,0.6,9.1,0.0,0,0.002627994116937746
Xavier Munford,3,4.2,1.6,1.3,8.9,0.0,0,0.0026256795402749247
Mitch McGary,2,4.4,3.5,0.3,15.4,1.3,0,0.0026231726755878244
Larry Drew,4,2.9,0.8,2.5,4.1,-0.5,0,0.002622315042232213
Devin Robinson,2,6.1,3.1,0.8,19.4,0.4,0,0.0025845720733211077
Trey McKinney-Jones,1,0.0,0.0,0.0,0.0,0.0,0,0.002583914937287174
Johnathan Motley,2,6.0,3.0,0.5,18.0,0.6,0,0.002580195010480411
Yante Maten,1,1.0,1.5,0.0,5.7,0.0,0,0.0025738211753886585
J.J. O'Brien,1,0.0,0.5,0.0,1.3,0.0,0,0.0025552202169230064
Justin Holiday,7,8.1,2.8,1.5,10.8,8.0,0,0.0025524297553488787
Matt Costello,1,1.0,2.3,0.5,9.7,0.1,0,0.0025438072682756664
Daniel Ochefu,1,1.3,1.2,0.2,6.6,0.0,0,0.0025292522412174445
Sindarius Thornwell,2,2.5,1.3,0.6,7.6,1.0,0,0.0025032190655202525
Naz Mitrou-Long,2,1.3,0.4,1.0,3.8,0.0,0,0.0024575688105645446
Luis Montero,3,1.0,0.4,0.1,-4.8,-0.3,0,0.0024516277357142
Festus Ezeli,4,4.2,4.3,0.4,13.4,5.9,0,0.002440440691922482
Willie Reed,3,4.9,3.8,0.3,18.0,6.3,0,0.002437848953645255
Aron Baynes,7,5.4,4.4,0.7,14.0,17.0,0,0.002432789579454221
Alize Johnson,1,0.9,1.4,0.1,6.3,0.0,0,0.0024280212574543953
Reggie Bullock,6,6.8,2.1,1.1,11.2,9.7,0,0.002425082019067995
Zaza Pachulia,16,6.8,5.8,1.3,14.6,52.7,0,0.0024078842904778712
Archie Goodwin,4,6.3,2.0,1.2,11.6,1.1,0,0.00240411089895256
Mitch Creek,1,4.2,2.4,1.2,20.2,0.2,0,0.0023991938964535654
Derrick Walton,1,1.8,1.0,1.0,11.2,0.4,0,0.0023981286326248416
Lonnie Walker,1,2.6,1.0,0.5,10.8,0.0,0,0.002369651670917511
Zhou Qi,2,1.3,1.2,0.1,2.5,-0.2,0,0.002368156080759951
Wade Baldwin,3,3.1,1.2,1.4,7.1,-0.3,0,0.0023301147752899085
DeVaughn Akoon-Purcell,1,1.0,0.6,0.9,8.2,0.0,0,0.002321277407666797
E'Twaun Moore,8,8.0,2.0,1.8,11.4,13.5,0,0.0023126578256341917
Nate Wolters,5,5.5,2.2,2.5,11.3,0.9,0,0.002308836777742341
Timofey Mozgov,8,6.8,4.9,0.6,14.7,17.7,0,0.0023055422757733836
Chris Chiozza,1,0.9,0.6,0.6,7.0,0.0,0,0.0022897369945380514
Brandon Goodwin,1,1.4,0.2,0.9,8.3,0.0,0,0.002284591489572223
Marco Belinelli,12,10.0,2.1,1.7,12.3,29.6,0,0.0022805861106537325
Markel Brown,4,5.2,2.1,1.2,10.1,1.1,0,0.0022777010168936337
Alan Williams,4,6.2,5.5,0.6,19.2,2.5,0,0.00226285932615318
Cory Jefferson,2,3.5,2.8,0.3,13.2,0.9,0,0.0022592900325617577
Mike Muscala,6,5.7,3.3,0.9,13.6,11.9,0,0.0022586288124287314
Briante Weber,3,3.2,1.9,1.4,10.1,0.6,0,0.0022553888235101933
Kyle O'Quinn,7,5.6,4.6,1.3,17.9,16.8,0,0.0022508218864163345
Jodie Meeks,10,9.3,2.1,1.1,12.8,24.3,0,0.002235617095220596
Justin Anderson,4,5.3,2.6,0.7,12.9,4.7,0,0.0022323769471257354
Nicolas Brussino,2,2.6,1.7,0.8,10.5,0.6,0,0.0022285994271457627
Mike Scott,7,7.1,3.1,0.9,13.2,13.3,0,0.0022244626348744273
C.J. Watson,10,7.2,1.9,2.5,13.1,24.1,0,0.0022163329992838077
Henry Ellenson,3,4.3,2.5,0.6,10.8,0.3,0,0.002207535922375377
Jake Layman,3,4.6,1.8,0.5,11.5,2.7,0,0.002203411207015394
Josh Huestis,3,2.5,2.4,0.3,6.0,0.7,0,0.002191478455900256
Erick Green,2,3.1,0.7,0.8,9.3,0.1,0,0.0021325597641976756
P.J. Tucker,13,7.4,5.7,1.4,10.9,30.0,0,0.002122673314456892
Edmond Sumner,2,2.8,1.0,0.4,7.9,0.1,0,0.002121060650963202
Nick Collison,14,5.9,5.2,1.0,13.2,44.5,0,0.0021106641040959393
Gary Payton,3,3.1,1.8,1.2,9.5,0.2,0,0.0020750893225544784
Meyers Leonard,7,5.6,3.7,0.9,12.3,13.4,0,0.002071410393682001
Ish Smith,9,7.4,2.4,3.8,13.5,11.0,0,0.002069135654947582
John Holland,2,2.2,1.0,0.2,5.9,-0.2,0,0.002065738854109818
Larry Sanders,7,6.4,5.7,0.7,15.4,10.3,0,0.0020495060521545146
Okaro White,3,2.7,2.2,0.5,7.6,0.8,0,0.0020446193754853695
Robert Sacre,4,4.2,3.1,0.7,10.8,2.4,0,0.002035992213421098
Michael Beasley,11,12.4,4.7,1.3,15.6,15.6,0,0.00203468235847959
Toney Douglas,8,7.6,2.2,2.3,13.2,12.1,0,0.0020314730145992704
Kyle Wiltjer,1,0.9,0.7,0.1,6.7,0.0,0,0.0020313274312523328
Tyler Ennis,4,4.2,1.3,1.9,10.3,1.3,0,0.002019536506107771
Beno Udrih,13,8.4,2.1,3.4,14.0,31.4,0,0.0020173574575644937
Channing Frye,14,8.7,4.5,1.0,13.3,38.9,0,0.0020103479804030066
Deyonta Davis,3,4.2,3.2,0.4,15.4,3.6,0,0.0020045456855312133
Shelvin Mack,8,6.6,2.0,3.1,12.3,10.3,0,0.001995461802228487
B.J. Johnson,1,3.3,1.1,0.0,12.8,0.1,0,0.001974497611897871
Thabo Sefolosha,13,5.9,3.8,1.4,11.5,38.6,0,0.0019647610432554237
Bryce Cotton,2,3.8,0.8,0.8,12.0,0.1,0,0.001959444201016422
Jameel Warney,1,5.7,3.0,0.0,22.5,0.1,0,0.0019550983354194216
Chris Johnson,4,4.4,2.0,0.6,9.7,3.5,0,0.0019509145444107298
Thomas Robinson,5,4.9,4.8,0.6,14.0,4.6,0,0.0019469171569693152
Sergey Karasev,3,3.0,1.5,0.9,8.7,0.8,0,0.0019442331145558798
T.J. Leaf,2,3.4,1.9,0.3,14.0,2.4,0,0.0019241426509382718
Donatas Motiejunas,7,7.3,3.8,1.1,12.4,7.1,0,0.001919236604020293
Charlie Villanueva,11,10.4,4.6,0.8,16.0,22.6,0,0.001895433582792897
Aaron Harrison,3,2.3,1.2,0.5,4.5,-0.1,0,0.001894557951568106
Leandro Barbosa,14,10.6,2.0,2.1,15.1,37.4,0,0.0018919195157243533
Aaron Brooks,11,9.7,1.7,3.0,13.3,19.2,0,0.0018735322494567695
Steve Blake,13,6.5,2.1,4.0,11.1,29.1,0,0.0018726772563053935
Salah Mejri,4,3.4,4.0,0.5,16.3,8.1,0,0.001870005928196043
Cameron Bairstow,2,1.2,1.0,0.2,5.0,-0.1,0,0.001867690007766006
Branden Dawson,1,0.8,0.7,0.0,7.1,0.0,0,0.0018621355454502223
Adreian Payne,4,4.0,2.9,0.6,8.0,-0.6,0,0.0018572263749830654
Russ Smith,2,2.0,0.6,0.7,7.8,-0.2,0,0.0018340071492986285
Marshall Plumlee,2,1.9,2.3,0.4,10.9,0.3,0,0.0018272571526020652
Alex Poythress,3,3.8,2.3,0.5,11.7,1.0,0,0.0018183574577969929
Darrun Hilliard,3,3.2,0.9,0.8,7.7,0.3,0,0.0018146799695440514
Damjan Rudez,3,3.3,0.6,0.6,7.4,1.4,0,0.0018134836577072648
Jonas Jerebko,10,6.2,4.0,0.8,13.2,25.8,0,0.0018075522129317244
Anthony Bennett,4,4.4,3.1,0.5,10.2,0.5,0,0.001807109667312184
Marreese Speights,10,7.9,4.1,0.7,16.7,25.8,0,0.001805854278022689
Rashad Vaughn,3,3.0,1.1,0.5,5.9,-0.6,0,0.0018030326341810872
Jorge Gutierrez,3,2.9,1.1,1.5,10.9,0.8,0,0.001771175068174697
Chris Copeland,4,5.8,1.6,0.6,12.4,2.9,0,0.0017630050006011181
Omri Casspi,10,7.9,4.0,1.1,13.0,19.6,0,0.0017545170914958625
JaKarr Sampson,5,5.5,2.7,0.8,10.1,2.0,0,0.001751662366187097
Damian Jones,3,3.6,2.3,0.6,12.6,1.6,0,0.0017509382525098549
Emanuel Terry,1,3.3,2.3,0.7,19.7,0.1,0,0.0017438868462196562
JaVale McGee,11,8.0,5.1,0.4,19.5,31.9,0,0.0017358791587273412
Luc Mbah a Moute,11,6.4,4.1,0.9,10.7,26.0,0,0.0017172573627254818
Dante Cunningham,10,5.8,3.7,0.7,11.1,24.9,0,0.0017134009169740656
Andrew Nicholson,5,6.0,3.0,0.4,12.2,3.8,0,0.0017053065842716514
Travis Wear,4,4.0,2.1,0.7,8.1,-0.1,0,0.0016772577558632259
Dwight Buycks,5,6.3,1.6,1.7,11.7,0.3,0,0.0016769793799827092
Vander Blue,5,3.0,1.3,1.2,1.7,-0.4,0,0.0016384417756802148
Jarred Vanderbilt,1,1.4,1.4,0.2,12.4,0.1,0,0.0016292141697682304
Jerryd Bayless,11,8.4,2.1,2.9,12.2,18.6,0,0.001623501305479069
Tim Quarterman,2,1.8,0.9,0.6,9.2,-0.1,0,0.00161991826319762
Malachi Richardson,3,2.8,1.0,0.3,6.2,-0.1,0,0.0016099910400502123
Joe Young,3,3.4,1.0,0.9,10.2,0.4,0,0.0016096385753142106
Rakeem Christmas,2,2.1,1.9,0.1,11.0,0.5,0,0.0015913072864394127
Johnny O'Bryant,4,3.5,2.4,0.5,8.0,0.2,0,0.0015679738537316488
Malcolm Miller,2,2.9,0.8,0.2,10.6,0.4,0,0.0015674425998786143
Matt Bonner,12,5.8,3.0,0.7,13.6,38.5,0,0.0015596582010201454
PJ Dozier,2,2.6,2.3,0.6,14.8,0.1,0,0.0015593966276384213
Jordan Hamilton,5,5.9,2.8,0.8,13.4,3.0,0,0.0015563068869602081
Robert Williams,1,2.5,2.5,0.2,18.8,1.2,0,0.0015561031354856894
Jordan Adams,2,3.2,0.9,0.6,13.1,0.4,0,0.0015537399629471098
Justin Patton,2,1.8,1.5,0.8,12.0,0.0,0,0.0015444099935693846
Guerschon Yabusele,2,2.3,1.4,0.4,12.4,1.1,0,0.0015249487833788756
Marcus Georges-Hunt,2,1.6,0.5,0.2,7.5,0.3,0,0.0015044034678697387
James Anderson,6,5.8,2.3,1.2,9.9,3.3,0,0.0015020390309544612
Boban Marjanovic,4,6.2,3.9,0.6,26.4,9.7,0,0.001490657954965343
Chuck Hayes,11,3.7,5.0,1.2,12.2,28.8,0,0.001490459999245549
Drew Eubanks,1,1.8,1.5,0.3,15.1,0.3,0,0.0014852745749626907
Tony Allen,14,8.1,3.5,1.3,14.2,38.7,0,0.0014730291095342953
Alonzo Gee,8,6.6,3.3,1.1,10.7,9.7,0,0.0014712935262895957
Bruno Caboclo,5,4.9,2.8,0.9,10.8,1.1,0,0.0014526881440067162
Orlando Johnson,4,3.2,1.7,0.7,8.5,1.4,0,0.0014377433533234322
Cliff Alexander,1,1.3,0.8,0.0,11.6,0.0,0,0.0014080515622394425
Darius Miller,7,6.0,1.7,1.4,8.4,5.9,0,0.001402089202016164
Marcus Derrickson,1,4.2,1.2,0.1,19.4,0.2,0,0.001394850079072706
Glenn Robinson,5,4.4,2.1,0.6,10.6,4.7,0,0.0013826856920356497
Jordan Loyd,1,2.4,0.8,0.5,16.3,0.2,0,0.0013750132843281155
J.J. Barea,13,9.0,2.1,3.9,14.5,23.1,0,0.0013690834313609336
Anthony Tolliver,11,6.4,3.4,0.9,11.2,25.4,0,0.0013613170650969757
Miles Plumlee,7,4.9,4.5,0.5,13.7,10.6,0,0.001343943311802775
Scotty Hopson,5,0.7,0.0,0.7,-5.5,-0.1,0,0.0013266202054024291
Jon Leuer,8,6.4,3.8,0.8,14.5,13.2,0,0.0013251983999503936
Sasha Kaun,1,0.9,1.0,0.1,12.5,0.2,0,0.0013204734457920254
Jordan McRae,4,4.9,1.2,0.9,12.4,1.0,0,0.00131526704352633
Georges Niang,3,2.9,1.2,0.5,10.9,1.0,0,0.0013152470428511396
Wayne Ellington,10,8.2,2.2,1.1,11.2,17.8,0,0.0013120709257839185
Mangok Mathiang,1,2.0,2.5,0.0,18.0,0.1,0,0.0013092453939389653
Troy Daniels,6,7.0,1.3,0.6,10.6,4.5,0,0.001290666624264908
Edy Tavares,2,2.5,2.5,0.3,16.3,0.2,0,0.0012750078839354518
Jordan Mickey,3,2.4,2.0,0.3,10.9,0.5,0,0.0012717351157392955
Lucas Nogueira,4,3.2,2.8,0.5,15.8,6.0,0,0.001256907155876003
Kosta Koufos,11,5.7,5.0,0.5,15.4,28.3,0,0.0012492837372510138
Dakari Johnson,1,1.8,1.1,0.3,16.4,0.6,0,0.00124902925424947
Ian Clark,6,5.6,1.3,1.2,10.3,4.4,0,0.001236017144060206
Wesley Johnson,9,7.0,3.2,1.1,10.0,10.7,0,0.0012220576573208019
Quincy Acy,7,4.9,3.5,0.6,11.2,8.7,0,0.001221339641643084
Chris McCullough,3,3.3,1.9,0.3,13.2,0.6,0,0.0012147667739171254
Elliot Williams,5,4.9,1.5,0.9,9.5,0.7,0,0.0012098710779020966
Greg Smith,5,4.0,3.3,0.3,13.8,5.5,0,0.0011917622096155405
Tyler Lydon,2,0.9,0.7,0.2,9.1,0.2,0,0.001186474734354427
Tony Bradley,2,2.1,2.2,0.2,15.1,0.1,0,0.0011861780225286005
Corey Brewer,12,8.7,2.8,1.5,11.8,22.5,0,0.0011844399572801885
Brandon Rush,9,6.8,2.9,1.0,9.9,11.2,0,0.0011213498361719906
Kevin Seraphin,7,5.9,3.5,0.6,12.1,5.9,0,0.00110313269334846
Thomas Welsh,1,1.6,0.4,0.5,16.1,0.1,0,0.0011015666137166255
C.J. Wilcox,3,2.0,0.5,0.5,8.8,0.1,0,0.001081368222903473
Shayne Whittington,2,2.5,1.5,0.3,16.5,0.4,0,0.001035981508575259
Amile Jefferson,1,2.3,1.8,0.3,21.1,0.4,0,0.0010338334543702544
Jarell Eddie,3,2.6,0.9,0.1,10.1,0.2,0,0.0010335530800283468
R.J. Hunter,4,3.0,1.0,0.4,8.4,0.4,0,0.001015929417097046
Reggie Williams,8,7.8,2.4,1.5,14.3,6.4,0,0.0009967370575834635
Reggie Hearn,1,1.0,0.0,0.0,13.1,0.0,0,0.000990793576731893
Jared Cunningham,4,2.3,0.7,0.5,6.8,0.2,0,0.0009817526563148317
James Young,4,2.3,1.0,0.3,7.4,0.8,0,0.0009694812865112989
Christian Wood,4,5.3,2.9,0.3,18.9,1.4,0,0.0009597728246199127
Kris Humphries,13,6.7,5.4,0.7,15.4,30.3,0,0.0009568837763399377
Nick Young,12,11.4,2.0,1.0,12.9,18.6,0,0.0009557781239222339
Manny Harris,7,6.2,2.7,1.4,10.7,0.1,0,0.0009454648334616493
Josh McRoberts,11,5.4,3.9,2.1,13.2,18.5,0,0.000933224102168851
Eric Moreland,5,1.9,3.7,1.0,13.3,2.3,0,0.0009060460665758977
Jordan Farmar,11,7.7,1.9,2.9,13.3,13.9,0,0.0008724839030481099
Xavier Silas,7,2.8,1.5,0.8,-0.7,-0.1,0,0.0008555717160305878
Joel Bolomboy,2,1.7,1.5,0.1,16.4,0.3,0,0.0008354372421382982
C.J. Miles,14,9.6,2.4,1.1,13.1,30.0,0,0.0008343685088256649
Demetrius Jackson,3,1.8,0.7,0.7,13.0,0.2,0,0.0008093290390806536
Brice Johnson,2,2.2,1.6,0.1,18.1,0.1,0,0.0007949333428219493
Andrew Goudelock,5,4.0,0.7,0.5,8.6,0.0,0,0.0007794537899675077
Chris Boucher,2,3.2,2.0,0.1,21.9,0.6,0,0.0007746944008356141
MarShon Brooks,8,8.0,2.1,1.4,13.9,3.3,0,0.0007722364584744397
Lance Thomas,8,5.2,2.6,0.7,8.3,5.4,0,0.0007668007459339336
James Michael McAdoo,4,3.0,1.7,0.3,14.6,2.4,0,0.0007661683032378892
Marquis Teague,6,2.4,1.0,1.5,4.9,-0.9,0,0.000760422821131174
Lorenzo Brown,6,2.8,1.5,1.8,9.0,-0.2,0,0.0007388276306966008
Jeff Withey,5,3.2,2.5,0.3,16.9,6.8,0,0.0007319033170565671
Garrett Temple,10,5.9,2.1,1.6,9.5,11.4,0,0.0007086442600542473
Jack Cooley,4,2.9,2.4,0.3,15.6,0.5,0,0.0006896049000829908
Darrell Arthur,10,6.5,3.5,0.8,12.2,12.3,0,0.0006836790969290917
Brandan Wright,11,7.0,3.6,0.5,20.3,26.2,0,0.0006650948947143284
David Stockton,4,3.0,0.3,1.5,15.7,0.1,0,0.000655366840794026
Sonny Weems,8,6.5,2.2,1.4,10.1,0.0,0,0.0006479563999553058
Luke Babbitt,8,4.8,2.2,0.6,10.1,7.2,0,0.0006198827133469961
Ian Mahinmi,12,5.0,4.3,0.5,12.9,24.7,0,0.0006188212227215014
Shaun Livingston,15,6.3,2.4,3.0,12.5,29.9,0,0.0006084666018015258
Ike Anigbogu,2,0.9,0.9,0.1,17.0,0.0,0,0.0005899405388711974
Arinze Onuaku,4,1.8,1.8,0.5,14.5,0.2,0,0.0005710612109300941
Kalin Lucas,5,1.0,1.5,0.5,8.0,0.0,0,0.0005520614067329167
John Jenkins,7,5.0,1.5,0.8,11.7,3.0,0,0.0005505930583200883
James Nunnally,6,2.9,0.9,0.5,6.6,0.0,0,0.0005403992975052005
Jarnell Stokes,3,2.4,1.4,0.3,19.4,0.6,0,0.0005384117427543162
Kendrick Perkins,15,5.4,5.8,1.0,10.7,27.9,0,0.000534168787052674
Justin Harper,6,2.0,0.8,0.2,3.6,-0.3,0,0.0005145770321039526
Jeff Ayres,7,2.9,2.7,0.4,12.4,6.3,0,0.0005013383604033086
Coty Clarke,1,2.0,0.3,0.0,23.9,0.0,0,0.0004936987632641847
Quincy Pondexter,9,4.5,1.8,0.7,9.8,9.7,0,0.00047443644648023045
Troy Caupain,1,2.5,0.8,1.0,30.7,0.1,0,0.0004658252972776743
Jimmer Fredette,8,6.0,1.0,1.4,12.5,2.2,0,0.0004409966696563883
Alexis Ajinca,9,5.3,3.9,0.5,14.9,7.5,0,0.0004303066269784403
Ekpe Udoh,9,3.5,2.9,0.7,12.0,10.4,0,0.00042864271638870017
DeAndre Liggins,7,2.0,1.4,0.7,7.3,1.6,0,0.0003936499497783852
Chris Andersen,16,5.4,5.0,0.5,16.7,39.7,0,0.00037774441516362793
Cole Aldrich,8,3.1,3.3,0.5,16.6,9.6,0,0.0003704902874453562
Gerald Green,14,9.7,2.5,0.9,13.0,18.4,0,0.00034266834875999
Joel Anthony,10,2.2,2.8,0.2,9.7,15.3,0,0.00033791545818440875
Jordan Sibert,1,3.0,0.0,0.0,29.7,0.0,0,0.00033689240318937185
Rasual Butler,14,7.5,2.4,0.8,10.6,20.8,0,0.000317771846817118
Jason Smith,12,6.1,3.4,0.7,12.9,14.1,0,0.0003047679334228186
Sergio Rodriguez,11,4.9,1.5,3.4,12.4,4.3,0,0.0002957429787901358
Jeremy Evans,8,3.5,2.6,0.4,17.3,8.2,0,0.0002832175341048869
Thanasis Antetokounmpo,1,3.0,0.5,0.0,32.9,0.0,0,0.00028208075559154434
Julyan Stone,7,1.1,1.1,1.1,9.5,0.9,0,0.00027964360931149833
D.J. Stephens,6,2.3,1.3,0.0,12.7,0.0,0,0.0002601309186127335
Alan Anderson,12,7.3,2.2,1.1,10.3,7.4,0,0.000258705427982567
Ryan Hollins,10,3.7,2.2,0.3,11.0,10.4,0,0.0002526338550279977
Lou Amundson,10,3.7,3.6,0.4,12.0,6.9,0,0.0002452304320770613
James Jones,14,5.2,1.8,0.5,11.3,25.2,0,0.00021628453159277597
Sasha Vujacic,13,5.3,1.9,1.3,11.5,16.0,0,0.00021074040297938115
Steve Novak,11,4.7,1.3,0.3,12.7,14.5,0,0.00020376791849099167
